"ensembl_gene_id","hgnc_symbol","description"
"ENSG00000149968","MMP3","matrix metallopeptidase 3 [Source:HGNC Symbol;Acc:HGNC:7173]"
"ENSG00000152669","CCNO","cyclin O [Source:HGNC Symbol;Acc:HGNC:18576]"
"ENSG00000159263","SIM2","SIM bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:10883]"
"ENSG00000160862","AZGP1","alpha-2-glycoprotein 1, zinc-binding [Source:HGNC Symbol;Acc:HGNC:910]"
"ENSG00000162073","PAQR4","progestin and adipoQ receptor family member 4 [Source:HGNC Symbol;Acc:HGNC:26386]"
"ENSG00000163347","CLDN1","claudin 1 [Source:HGNC Symbol;Acc:HGNC:2032]"
"ENSG00000163734","CXCL3","C-X-C motif chemokine ligand 3 [Source:HGNC Symbol;Acc:HGNC:4604]"
"ENSG00000163735","CXCL5","C-X-C motif chemokine ligand 5 [Source:HGNC Symbol;Acc:HGNC:10642]"
"ENSG00000163736","PPBP","pro-platelet basic protein [Source:HGNC Symbol;Acc:HGNC:9240]"
"ENSG00000163739","CXCL1","C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]"
"ENSG00000163817","SLC6A20","solute carrier family 6 member 20 [Source:HGNC Symbol;Acc:HGNC:30927]"
"ENSG00000164283","ESM1","endothelial cell specific molecule 1 [Source:HGNC Symbol;Acc:HGNC:3466]"
"ENSG00000164379","FOXQ1","forkhead box Q1 [Source:HGNC Symbol;Acc:HGNC:20951]"
"ENSG00000164694","FNDC1","fibronectin type III domain containing 1 [Source:HGNC Symbol;Acc:HGNC:21184]"
"ENSG00000164932","CTHRC1","collagen triple helix repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:18831]"
"ENSG00000165376","CLDN2","claudin 2 [Source:HGNC Symbol;Acc:HGNC:2041]"
"ENSG00000165816","VWA2","von Willebrand factor A domain containing 2 [Source:HGNC Symbol;Acc:HGNC:24709]"
"ENSG00000165905","LARGE2","LARGE xylosyl- and glucuronyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:16522]"
"ENSG00000166670","MMP10","matrix metallopeptidase 10 [Source:HGNC Symbol;Acc:HGNC:7156]"
"ENSG00000167755","KLK6","kallikrein related peptidase 6 [Source:HGNC Symbol;Acc:HGNC:6367]"
"ENSG00000167767","KRT80","keratin 80 [Source:HGNC Symbol;Acc:HGNC:27056]"
"ENSG00000169174","PCSK9","proprotein convertase subtilisin/kexin type 9 [Source:HGNC Symbol;Acc:HGNC:20001]"
"ENSG00000169248","CXCL11","C-X-C motif chemokine ligand 11 [Source:HGNC Symbol;Acc:HGNC:10638]"
"ENSG00000169429","CXCL8","C-X-C motif chemokine ligand 8 [Source:HGNC Symbol;Acc:HGNC:6025]"
"ENSG00000170231","FABP6","fatty acid binding protein 6 [Source:HGNC Symbol;Acc:HGNC:3561]"
"ENSG00000170369","CST2","cystatin SA [Source:HGNC Symbol;Acc:HGNC:2474]"
"ENSG00000170373","CST1","cystatin SN [Source:HGNC Symbol;Acc:HGNC:2473]"
"ENSG00000171388","APLN","apelin [Source:HGNC Symbol;Acc:HGNC:16665]"
"ENSG00000172016","REG3A","regenerating family member 3 alpha [Source:HGNC Symbol;Acc:HGNC:8601]"
"ENSG00000172023","REG1B","regenerating family member 1 beta [Source:HGNC Symbol;Acc:HGNC:9952]"
"ENSG00000172031","EPHX4","epoxide hydrolase 4 [Source:HGNC Symbol;Acc:HGNC:23758]"
"ENSG00000172927","MYEOV","myeloma overexpressed [Source:HGNC Symbol;Acc:HGNC:7563]"
"ENSG00000173894","CBX2","chromobox 2 [Source:HGNC Symbol;Acc:HGNC:1552]"
"ENSG00000175592","FOSL1","FOS like 1, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:13718]"
"ENSG00000175832","ETV4","ETS variant transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:3493]"
"ENSG00000178773","CPNE7","copine 7 [Source:HGNC Symbol;Acc:HGNC:2320]"
"ENSG00000179431","FJX1","four-jointed box kinase 1 [Source:HGNC Symbol;Acc:HGNC:17166]"
"ENSG00000179546","HTR1D","5-hydroxytryptamine receptor 1D [Source:HGNC Symbol;Acc:HGNC:5289]"
"ENSG00000181577","LINC03040","long intergenic non-protein coding RNA 3040 [Source:HGNC Symbol;Acc:HGNC:28692]"
"ENSG00000182747","SLC35D3","solute carrier family 35 member D3 [Source:HGNC Symbol;Acc:HGNC:15621]"
"ENSG00000182782","HCAR2","hydroxycarboxylic acid receptor 2 [Source:HGNC Symbol;Acc:HGNC:24827]"
"ENSG00000183734","ASCL2","achaete-scute family bHLH transcription factor 2 [Source:HGNC Symbol;Acc:HGNC:739]"
"ENSG00000183844","FAM3B","FAM3 metabolism regulating signaling molecule B [Source:HGNC Symbol;Acc:HGNC:1253]"
"ENSG00000184292","TACSTD2","tumor associated calcium signal transducer 2 [Source:HGNC Symbol;Acc:HGNC:11530]"
"ENSG00000185269","NOTUM","notum, palmitoleoyl-protein carboxylesterase [Source:HGNC Symbol;Acc:HGNC:27106]"
"ENSG00000186007","LEMD1","LEM domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18725]"
"ENSG00000186193","SAPCD2","suppressor APC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28055]"
"ENSG00000186340","THBS2","thrombospondin 2 [Source:HGNC Symbol;Acc:HGNC:11786]"
"ENSG00000189366","ALG1L1P","ALG1 like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:33721]"
"ENSG00000196260","SFTA2","surfactant associated 2 [Source:HGNC Symbol;Acc:HGNC:18386]"
"ENSG00000196611","MMP1","matrix metallopeptidase 1 [Source:HGNC Symbol;Acc:HGNC:7155]"
"ENSG00000196711","ALKAL1","ALK and LTK ligand 1 [Source:HGNC Symbol;Acc:HGNC:33775]"
"ENSG00000197905","TEAD4","TEA domain transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11717]"
"ENSG00000198535","C2CD4A","C2 calcium dependent domain containing 4A [Source:HGNC Symbol;Acc:HGNC:33627]"
"ENSG00000198759","EGFL6","EGF like domain multiple 6 [Source:HGNC Symbol;Acc:HGNC:3235]"
"ENSG00000201512","SNORA71C","small nucleolar RNA, H/ACA box 71C [Source:HGNC Symbol;Acc:HGNC:32656]"
"ENSG00000203499","IQANK1","IQ motif and ankyrin repeat containing 1 [Source:HGNC Symbol;Acc:HGNC:49576]"
"ENSG00000203805","PLPP4","phospholipid phosphatase 4 [Source:HGNC Symbol;Acc:HGNC:23531]"
"ENSG00000204335","SP5","Sp5 transcription factor [Source:HGNC Symbol;Acc:HGNC:14529]"
"ENSG00000204876","","novel transcript"
"ENSG00000206075","SERPINB5","serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]"
"ENSG00000207973","MIR589","microRNA 589 [Source:HGNC Symbol;Acc:HGNC:32845]"
"ENSG00000224269","","novel transcript"
"ENSG00000230061","TRPM2-AS","TRPM2 antisense RNA [Source:HGNC Symbol;Acc:HGNC:50758]"
"ENSG00000232445","EMSLR","E2F1 mRNA stabilizing lncRNA [Source:HGNC Symbol;Acc:HGNC:54408]"
"ENSG00000236081","ELFN1-AS1","ELFN1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:39071]"
"ENSG00000240204","SMKR1","small lysine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:43561]"
"ENSG00000254166","CASC19","cancer susceptibility 19 [Source:HGNC Symbol;Acc:HGNC:49476]"
"ENSG00000259485","LINC02253","long intergenic non-protein coding RNA 2253 [Source:HGNC Symbol;Acc:HGNC:53151]"
"ENSG00000260877","","novel transcript"
"ENSG00000262406","MMP12","matrix metallopeptidase 12 [Source:HGNC Symbol;Acc:HGNC:7158]"
"ENSG00000270372","LINC03131","long intergenic non-protein coding RNA 3131 [Source:HGNC Symbol;Acc:HGNC:58088]"
"ENSG00000270460","","novel transcript"
"ENSG00000273604","EPOP","elongin BC and polycomb repressive complex 2 associated protein [Source:HGNC Symbol;Acc:HGNC:34493]"
"ENSG00000275896","PRSS2","serine protease 2 [Source:HGNC Symbol;Acc:HGNC:9483]"
"ENSG00000276023","DUSP14","dual specificity phosphatase 14 [Source:HGNC Symbol;Acc:HGNC:17007]"
